name_a,type_a,name_b,type_b,similarity,confidence,reason
災難,risk,災害,risk,0.9611,0.9,災難和災害是同義詞
資訊外洩,risk,敏感資訊外洩,risk,0.9578,0.9,資訊外洩和敏感資訊外洩語意相近，均指涉及敏感資訊的外洩風險
資料外洩,risk,資料洩露,risk,0.9574,0.9,資料外洩和資料洩露是同義詞
資訊安全風險,risk,資訊風險,risk,0.955,0.9,兩節點名稱語意相近，均指涉資訊安全領域的風險
資料外洩,risk,機密資料外洩,risk,0.9518,0.8,資料外洩和機密資料外洩雖然名稱不同，但都指涉到敏感資訊的泄露，具有相似的核心概念
敏感性資料外洩,risk,敏感資訊外洩,risk,0.9478,0.9,節點 A 和節點 B 的名稱語意等價，均指涉敏感資料的外洩
機密資料外洩,risk,資料洩露,risk,0.9407,0.9,機密資料外洩和資料洩露是同義詞
資訊洩漏,risk,敏感資訊外洩,risk,0.9406,0.9,資訊洩漏和敏感資訊外洩是同義詞
敏感資訊外洩,risk,資訊洩露,risk,0.9372,0.9,節點 A 和節點 B 的名稱語意相近，均指涉資訊安全風險中的敏感資訊外露
潛在風險,risk,風險,risk,0.9368,0.9,節點 A 和節點 B 的名稱語意等價，都是指潛在的安全風險
資料洩露,risk,資訊洩露,risk,0.9357,0.9,資料洩露和資訊洩露是同義詞
敏感性資料外洩,risk,資料外洩,risk,0.9268,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及資料外洩的安全風險
資訊安全風險,risk,網路安全風險,risk,0.9261,0.8,兩節點名稱語意相近，皆指涉安全風險
資訊外洩,risk,資料外洩,risk,0.926,0.9,資訊外洩和資料外洩是同義詞
敏感性資料外洩,risk,機密資料外洩,risk,0.9217,0.9,兩節點名稱語意相近，均指資料外洩的風險
資訊洩漏,risk,資料洩露,risk,0.9215,0.9,資訊洩漏和資料洩露是同義詞
敏感性資料外洩,risk,資料洩露,risk,0.9191,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及資料的安全風險
雲端採用風險,risk,雲端安全風險,risk,0.9189,0.9,兩節點名稱語意等價，均指雲端安全相關風險
違反法律的風險,risk,法規風險,risk,0.9158,0.9,節點 A 和節點 B 的名稱語意等價，均指涉及法律法規的風險
資料損失,risk,資料丟失,risk,0.9146,0.9,資料損失和資料丟失是同義詞
外洩風險,risk,資料外洩風險,risk,0.9132,0.9,外洩風險和資料外洩風險是同義詞
資訊安全風險,risk,安全風險,risk,0.912,0.9,兩節點名稱語意等價，均指稱安全風險
安全風險,risk,風險,risk,0.9116,0.9,節點 A 和節點 B 的名稱語意等價，都是指安全風險的概念
資訊外洩,risk,資料洩露,risk,0.9105,0.9,資訊外洩和資料洩露是同義詞
機密性外洩,risk,敏感資訊外洩,risk,0.9103,0.9,機密性外洩和敏感資訊外洩是同義詞
機密資料外洩,risk,敏感資訊外洩,risk,0.9091,0.9,機密資料外洩和敏感資訊外洩是同義詞
外洩風險,risk,機密資料外洩風險,risk,0.9085,0.9,外洩風險和機密資料外洩風險語意相近，均指涉及敏感資訊的安全風險
資訊外洩,risk,機密資料外洩,risk,0.9071,0.9,資訊外洩和機密資料外洩是同義詞
個人資料洩漏,risk,資料洩露,risk,0.906,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及資料的安全風險
機密性外洩,risk,機密資料外洩,risk,0.9054,0.9,機密性外洩和機密資料外洩是同義詞
安全風險,risk,實體安全風險,risk,0.9035,0.8,節點 A 和節點 B 的名稱語意相近，均指涉安全風險
資料外洩,risk,資料外洩風險,risk,0.9028,0.9,兩節點名稱語意等價，均指資料外洩的風險
檔案遺失,risk,資料遺失,risk,0.9027,0.9,檔案遺失和資料遺失在本體論類別risk下是同義詞
災難,risk,重大災害,risk,0.9021,0.8,災難和重大災害在本體論類別risk下為同義詞
聘僱風險,risk,人員風險,risk,0.9017,0.8,聘僱風險和人員風險在本體論類別risk下指稱同一概念
資訊風險,risk,資料風險,risk,0.9013,0.9,資訊風險和資料風險是同義詞
檔案遺失,risk,資料丟失,risk,0.9009,0.9,檔案遺失和資料丟失是同義詞
資料外洩,risk,敏感資訊外洩,risk,0.9007,0.9,資料外洩和敏感資訊外洩是同義詞
營運中斷,risk,業務中斷,risk,0.9007,0.9,營運中斷和業務中斷是同義詞
安全疑慮,risk,安全問題,risk,0.9006,0.8,安全疑慮和安全問題是同義詞
機密資料外洩,risk,資訊洩露,risk,0.9002,0.9,機密資料外洩和資訊洩露是同義詞，均指涉及敏感資訊的泄露
個人資料洩漏,risk,資訊洩露,risk,0.8992,0.8,個人資料洩漏和資訊洩露在本體論類別risk下具有相似的語意含義
法規風險,risk,合規風險,risk,0.8989,0.9,法規風險和合規風險是同義詞，均指組織因未能遵守相關法規而面臨的風險
敏感資訊外洩,risk,資料洩露,risk,0.8967,0.9,節點 A 和節點 B 的名稱語意等價，均指涉及敏感資訊的外洩或泄露
機密性外洩,risk,資訊外洩,risk,0.8967,0.9,機密性外洩和資訊外洩是同義詞
資訊洩漏,risk,機密資料外洩,risk,0.8945,0.9,資訊洩漏和機密資料外洩是同義詞
公司損失,risk,業務損失,risk,0.8941,0.8,公司損失和業務損失在風險本體論類別下具有相似的語意含義
網路交易風險,risk,網路安全風險,risk,0.893,0.9,網路交易風險和網路安全風險在本體論類別risk下具有相近的語意含義
資訊外洩,risk,敏感性資料外洩,risk,0.8909,0.9,資訊外洩和敏感性資料外洩語意相近，均指涉及敏感資訊的外露
安全風險,risk,潛在風險,risk,0.8901,0.9,節點名稱語意等價
組織風險,risk,企業風險,risk,0.8892,0.9,組織風險和企業風險在本體論類別risk下是同義詞
資料外洩,risk,資訊洩露,risk,0.8877,0.9,資料外洩和資訊洩露是同義詞
收入損失,risk,財務損失,risk,0.8863,0.9,收入損失和財務損失是同義詞
個人資料洩漏,risk,敏感資訊外洩,risk,0.8834,0.9,個人資料洩漏和敏感資訊外洩是同義詞
事故,risk,意外事件,risk,0.883,0.8,事故和意外事件是同義詞
安全風險,risk,安全疑慮,risk,0.8827,0.8,安全風險和安全疑慮在本體論類別risk下為同義詞
醫療資訊外洩,risk,資訊洩露,risk,0.8826,0.9,兩節點名稱語意相近，均指涉資訊外洩的風險
機密性外洩,risk,資訊洩露,risk,0.8825,0.9,機密性外洩和資訊洩露是同義詞，均指涉及敏感資訊的泄露
中斷風險,risk,業務中斷風險,risk,0.8822,0.8,中斷風險和業務中斷風險在語意上相近，業務中斷風險可以視為中斷風險的一種具體情況
機密資料外洩風險,risk,機密資料外洩,risk,0.8817,0.9,機密資料外洩風險和機密資料外洩語意上相近，風險是指可能發生的事件，外洩是事件本身，兩者相關但風險是外洩的前置狀態
資訊洩漏,risk,資料外洩,risk,0.8809,0.9,資訊洩漏和資料外洩是同義詞
資料風險,risk,資料遺失風險,risk,0.8781,0.8,資料風險和資料遺失風險都是關於資料安全的風險，且資料遺失風險可以被視為資料風險的一種子類
機密性外洩,risk,資訊洩漏,risk,0.8778,0.9,機密性外洩和資訊洩漏是同義詞，均指涉及敏感資訊的泄露
項目風險,risk,潛在風險,risk,0.8772,0.8,項目風險和潛在風險在安全風險的本體論類別下具有相似的語意含義
資訊安全風險,risk,資料風險,risk,0.8771,0.8,資訊安全風險和資料風險在本體論類別risk下語意相近
機密性外洩,risk,個資外洩,risk,0.8769,0.8,機密性外洩和個資外洩都指涉及敏感信息的泄露
資訊洩漏,risk,敏感性資料外洩,risk,0.8768,0.9,資訊洩漏和敏感性資料外洩是同義詞
個人資料洩漏,risk,資訊外洩,risk,0.8764,0.9,個人資料洩漏和資訊外洩是同義詞
敏感性資料外洩,risk,資訊洩露,risk,0.8759,0.9,節點 A 和節點 B 的名稱語意等價，均指涉及資訊的外洩或泄露
系統無法使用,risk,系統無法執行任務,risk,0.8748,0.9,系統無法使用和系統無法執行任務語意相近
個人資料洩漏,risk,機密資料外洩,risk,0.8744,0.9,個人資料洩漏和機密資料外洩語意相近，均指涉密信息的泄露
機密性外洩,risk,營業秘密外洩,risk,0.8742,0.8,機密性外洩和營業秘密外洩都是指敏感信息的泄露
個人資料洩漏,risk,敏感性資料外洩,risk,0.8732,0.9,個人資料洩漏和敏感性資料外洩是同義詞
敏感性資料外洩,risk,資料外洩風險,risk,0.8704,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及資料外洩的風險
安全風險,risk,安全問題,risk,0.869,0.8,安全風險和安全問題在本體論類別risk下為同義詞
個人資料洩漏,risk,資料外洩,risk,0.8672,0.9,個人資料洩漏和資料外洩是同義詞
收入損失,risk,業務損失,risk,0.8662,0.8,收入損失和業務損失在安全風險的背景下可以被視為同義詞
資料損失,risk,資訊資產損失,risk,0.8658,0.9,資料損失和資訊資產損失是同義詞
機密性外洩,risk,營業祕密外洩,risk,0.8641,0.8,機密性外洩和營業祕密外洩都是指敏感信息的泄露，語意相近
機密資料外洩風險,risk,敏感性資料外洩,risk,0.8632,0.9,機密資料外洩風險和敏感性資料外洩語意相近，均指涉及重要資料的安全風險
資料丟失,risk,資料遺失風險,risk,0.8629,0.9,資料丟失和資料遺失風險是同義詞
系統無法執行任務,risk,系統故障,risk,0.8626,0.8,系統無法執行任務和系統故障在本體論類別risk下具有相似的語意含義
資料洩露,risk,資料外洩風險,risk,0.8607,0.9,資料洩露和資料外洩風險是同義詞
個人資料洩漏,risk,個資外洩,risk,0.86,0.9,個人資料洩漏和個資外洩是同義詞
郵件資料損毀,risk,資料損壞,risk,0.8594,0.9,郵件資料損毀和資料損壞在語意上相近，均指資料受損
機密資料外洩風險,risk,資料外洩,risk,0.859,0.9,機密資料外洩風險和資料外洩語意相近，均指資料泄露的風險
帳戶入侵,risk,帳號被盜取,risk,0.8548,0.9,帳戶入侵和帳號被盜取是同義詞，指稱相同的安全風險概念
醫療資訊外洩,risk,資料洩露,risk,0.8547,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及敏感資訊的外洩
作業系統風險,risk,系統風險,risk,0.8544,0.8,節點 A 和節點 B 的名稱語意相近，均指涉及系統的風險
資料損失,risk,資料遺失,risk,0.8505,0.9,資料損失和資料遺失是同義詞
硬碟損毀,risk,硬碟故障,risk,0.8504,0.9,硬碟損毀和硬碟故障是同義詞
外洩風險,risk,機密性外洩,risk,0.846,0.9,外洩風險和機密性外洩是同義詞
個人資料洩漏,risk,隱私侵害,risk,0.8443,0.9,個人資料洩漏和隱私侵害是相關的安全風險概念，且語意上相近
系統中斷,risk,系統故障,risk,0.8424,0.9,系統中斷和系統故障是同義詞，均指系統運作異常
服務損失,risk,業務損失,risk,0.8411,0.8,服務損失和業務損失在安全風險的本體論類別下是同義詞
資料遺失,risk,資料遺失風險,risk,0.8394,0.9,兩節點名稱語意等價，均指資料遺失的風險
系統無法使用,risk,系統故障,risk,0.8313,0.8,系統無法使用和系統故障在安全風險的本體論類別下具有相似的語意含義
財務損失,risk,重大損失,risk,0.8291,0.8,財務損失和重大損失在風險本體論類別下具有相似的語意含義
外洩風險,risk,資料風險,risk,0.8275,0.8,外洩風險和資料風險都是指資料安全的風險，語意上相近
資料損失,risk,資料遺失風險,risk,0.8258,0.9,資料損失和資料遺失風險語意相近，均指資料丟失的風險
系統故障,risk,系統崩潰,risk,0.8257,0.8,系統故障和系統崩潰是同義詞
系統中斷,risk,系統崩潰,risk,0.8189,0.9,系統中斷和系統崩潰是同義詞
業務中斷風險,risk,業務中斷,risk,0.8164,0.9,業務中斷風險和業務中斷語意相近，風險是中斷的直接後果
資訊資產損失,risk,資料丟失,risk,0.813,0.9,節點 A 和節點 B 的名稱語意等價，均指資訊資產的丟失
隱私侵害,risk,人格權受侵害,risk,0.8118,0.8,隱私侵害和人格權受侵害在安全風險的本體論類別下具有相似的語意含義
安全問題,risk,安全威脅,risk,0.8114,0.8,安全問題和安全威脅在本體論類別risk下為同義詞
外洩風險,risk,個資外洩,risk,0.8093,0.9,外洩風險和個資外洩是同義詞，均指涉及個資的安全風險
物聯網設備風險,risk,iot安全風險,risk,0.8082,0.9,節點 A 和節點 B 的名稱語意等價，均指涉物聯網設備的安全風險
安全漏洞影響,risk,軟體漏洞風險,risk,0.8078,0.8,節點 A 和節點 B 都與安全風險相關，且軟體漏洞風險是安全漏洞影響的一種特定形式
csp (密碼服務提供模組),tool,密碼服務提供模組 (csp),tool,0.9849,1.0,兩節點名稱語意等價
入侵偵測系統 (ids),tool,入侵檢測系統 (ids),tool,0.9763,0.9,入侵偵測系統和入侵檢測系統是同義詞
代理型防火牆,tool,代理防火牆,tool,0.9726,0.9,代理型防火牆和代理防火牆是同義詞
封包過濾防火牆,tool,封包過濾型防火牆,tool,0.9604,0.9,兩節點名稱語意等價，都是描述封包過濾的防火牆
網路層防火牆,tool,網路防火牆,tool,0.959,0.9,網路層防火牆和網路防火牆在語意上相近，網路層防火牆是網路防火牆的一種特定類型
密碼演算法,tool,加密演算法,tool,0.9581,0.9,密碼演算法和加密演算法是同義詞
蜂蜜罐,tool,蜜罐,tool,0.9548,0.9,蜂蜜罐和蜜罐是同義詞
應用層防火牆,tool,網路應用程式防火牆,tool,0.9527,0.9,兩節點名稱語意相近，均指涉網路安全的防火牆工具
攻擊工具包,tool,攻擊工具,tool,0.9489,0.8,攻擊工具包和攻擊工具雖然名稱稍有不同，但在本體論類別tool下，兩者語意相近，攻擊工具包可以被視為攻擊工具的集合或標準化形式
ssl,tool,ssl/tls,tool,0.9417,0.9,ssl 和 ssl/tls 是同一安全協定的不同稱呼方式
firewall,tool,防火牆,tool,0.9409,1.0,firewall 和 防火牆 是同義詞
防毒解毒軟體,tool,防毒軟體,tool,0.9397,0.9,防毒解毒軟體和防毒軟體是同義詞
偽造應用程式,tool,偽造的 apps,tool,0.9395,0.9,節點 A 和節點 B 的名稱語意等價，都是指偽造的應用程式
防火牆,tool,網路防火牆,tool,0.9391,0.9,防火牆和網路防火牆是同義詞
網路監控工具,tool,網路監聽工具,tool,0.9386,0.8,網路監控工具和網路監聽工具在大多數情況下是同義詞
過濾型防火牆,tool,封包過濾型防火牆,tool,0.9362,0.9,過濾型防火牆和封包過濾型防火牆是同義詞
對稱式密碼學,tool,對稱式加密,tool,0.9361,0.9,對稱式密碼學和對稱式加密是同義詞
反編譯器,tool,反組譯器,tool,0.9339,0.9,反編譯器和反組譯器是同義詞
對稱式加密,tool,對稱金鑰加密,tool,0.932,0.9,對稱式加密和對稱金鑰加密是同義詞
相關設備,tool,設備,tool,0.9313,0.9,節點 A 和節點 B 的名稱語意相近，均指稱工具或設備
網路型入侵偵測系統,tool,入侵偵測系統,tool,0.9293,0.8,節點A和節點B的名稱雖然不完全相同，但都指稱入侵偵測系統的概念
對稱式加密,tool,對稱式加密演算法,tool,0.9292,0.9,兩節點名稱語意等價，都是指對稱式加密的概念
netstat-a,tool,netstat,tool,0.9288,0.9,netstat-a 是 netstat 的一個變體，兩者語意相近
firewall,tool,網路防火牆,tool,0.9281,1.0,firewall 和 網路防火牆 是同義詞
防火牆,tool,防火牆 (firewall),tool,0.9278,1.0,兩節點名稱語意等價
軟體工具,tool,工具,tool,0.9245,0.8,軟體工具是工具的一種標準化形式
非對稱金鑰加密,tool,非對稱金鑰演算法,tool,0.9243,0.9,非對稱金鑰加密和非對稱金鑰演算法是同義詞
firewall,tool,防火牆 (firewall),tool,0.9168,1.0,節點 A 和節點 B 的名稱語意等價，都是指防火牆的概念
網路防火牆,tool,防火牆 (firewall),tool,0.9164,1.0,節點 A 和節點 B 的名稱語意等價，都是指網路防火牆
感應燈光,tool,觸發燈光,tool,0.9144,0.8,感應燈光和觸發燈光是同義詞
非對稱式密碼學,tool,非對稱金鑰加密,tool,0.9143,0.9,非對稱式密碼學和非對稱金鑰加密是同義詞
數位憑證認證機構,tool,憑證機構,tool,0.9123,0.9,兩節點名稱語意相近，均指涉憑證機構
門鎖,tool,鎖,tool,0.9092,0.9,門鎖和鎖是同義詞，門鎖是鎖的一種特定應用
對稱式演算法,tool,對稱式加密演算法,tool,0.9087,0.9,對稱式演算法和對稱式加密演算法在資安領域中常被視為同義詞
網路監聽工具,tool,監視工具,tool,0.9075,0.8,網路監聽工具和監視工具在工具類別中具有相似的語意含義
密碼模組,tool,軟體密碼模組,tool,0.907,0.8,節點 A 和節點 B 的名稱語意相近，軟體密碼模組可以被視為密碼模組的一種特定類型
攻擊工具,tool,駭客工具,tool,0.9064,0.8,攻擊工具和駭客工具在本體論類別tool下具有相似的語意含義
firewall,tool,網路層防火牆,tool,0.9059,0.9,firewall 和 網路層防火牆 是同義詞
生理特徵認證設備,tool,生理特徵設備,tool,0.9048,0.9,兩節點名稱語意相近，均指涉生理特徵認證的設備
弱掃工具,tool,掃描工具,tool,0.9026,0.8,兩節點名稱語意相近，弱掃工具和掃描工具可能是同義詞
vpn 服務,tool,加密 vpn 連線服務,tool,0.9017,0.9,節點 A 和節點 B 的名稱語意相近，vpn 服務和加密 vpn 連線服務都指涉到虛擬私人網路的連線服務
防病毒軟體,tool,防毒軟體,tool,0.9006,0.9,防病毒軟體和防毒軟體是同義詞
感測器,tool,感測設備,tool,0.8962,0.9,感測器和感測設備是同義詞
網路層防火牆,tool,防火牆 (firewall),tool,0.8946,0.9,節點 A 和節點 B 的名稱語意等價，都是指防火牆的概念
感應燈光,tool,感應燈光設備,tool,0.8937,0.9,節點名稱語意相近，感應燈光設備是感應燈光的具體實現形式
惡意程式偵測軟體,tool,惡意軟體分析工具,tool,0.8902,0.9,兩節點名稱語意相近，均指涉及惡意程式的分析或偵測工具
網路應用程式防火牆,tool,網路防火牆,tool,0.8898,0.9,節點 A 和節點 B 的名稱語意相近，均指涉網路安全的防火牆
入侵偵測設備,tool,入侵偵測系統,tool,0.8876,0.9,入侵偵測設備和入侵偵測系統在語意上相近，均指用於偵測入侵的工具或系統
非對稱式密碼學,tool,非對稱金鑰演算法,tool,0.8853,0.9,非對稱式密碼學和非對稱金鑰演算法是密切相關的概念，前者涵蓋了後者
網路監控工具,tool,監視工具,tool,0.8841,0.8,節點 A 和節點 B 的名稱語意相近，均指涉及監控或監視的工具
實體設施,tool,設備,tool,0.8814,0.8,實體設施和設備在工具類別中具有相似的語意含義
過濾型防火牆,tool,封包過濾防火牆,tool,0.8802,0.9,過濾型防火牆和封包過濾防火牆是同義詞
資安設備,tool,設備,tool,0.8798,0.8,節點 A 和節點 B 都指稱工具類別中的設備，且名稱語意相近
對稱式密碼學,tool,對稱式加密演算法,tool,0.879,0.8,對稱式密碼學和對稱式加密演算法在本體論類別tool下指涉的是密碼學中的一種加密方法
對稱式密碼學,tool,對稱金鑰加密,tool,0.8787,0.9,對稱式密碼學和對稱金鑰加密是密碼學中相關的概念，前者是後者的基礎
生理特徵認證設備,tool,認證設備,tool,0.8782,0.8,節點 A 和節點 B 都指稱認證設備，且生理特徵認證設備是認證設備的一種特定類型
資料保密演算法,tool,密碼演算法,tool,0.8782,0.9,資料保密演算法和密碼演算法是同義詞
單一晶片模組,tool,單一晶片,tool,0.8781,0.9,單一晶片模組和單一晶片在工具類別中指稱同一概念
filevault,tool,檔案保險箱 (filevault),tool,0.8775,1.0,兩節點名稱語意等價，檔案保險箱是FileVault的中文翻譯
應用層閘道器,tool,閘道器,tool,0.8766,0.8,節點 A 和節點 B 的名稱語意相近，應用層閘道器是一種閘道器
介面程式庫,tool,程式庫,tool,0.8751,0.8,節點 A 和節點 B 的名稱語意相近，均指程式庫
軟體掃描工具,tool,漏洞掃描工具,tool,0.8749,0.8,軟體掃描工具和漏洞掃描工具在資安領域中常被視為同義詞
風險位階矩陣 (risk level matrix),tool,風險位階矩陣,tool,0.8747,1.0,兩節點名稱完全相同
應用代理閘道防火牆,tool,代理防火牆,tool,0.8745,0.9,兩節點名稱語意等價，代理防火牆是應用代理閘道防火牆的一種標準化形式
入侵偵測設備,tool,資安設備,tool,0.8738,0.8,入侵偵測設備和資安設備在本體論類別tool下具有相近的語意含義
資料保密演算法,tool,加密演算法,tool,0.8721,0.9,資料保密演算法和加密演算法是同義詞
備份軟體,tool,備份工具,tool,0.8715,0.9,兩節點名稱語意等價，備份軟體和備份工具是同義詞
防禦主機防火牆,tool,防火牆,tool,0.8715,0.9,防禦主機防火牆是防火牆的一種具體實現形式
輔助工具,tool,工具,tool,0.8714,0.9,兩節點名稱語意等價
應用代理閘道防火牆,tool,應用層防火牆,tool,0.8707,0.9,兩節點名稱語意相近，均指涉及應用層的防火牆
數位憑證,tool,ev-ssl數位憑證,tool,0.8706,0.9,節點 A 和節點 B 都指稱數位憑證，且 ev-ssl 是數位憑證的一種特定類型
手機防毒軟體,tool,防病毒軟體,tool,0.8705,0.9,手機防毒軟體和防病毒軟體在本體論類別tool下語意相近
物聯網閘道器,tool,閘道器,tool,0.8682,0.8,節點 A 和節點 B 的名稱語意相近，閘道器是物聯網閘道器的標準化形式
firewall,tool,代理防火牆,tool,0.8665,0.8,代理防火牆是防火牆的一種形式
公私鑰,tool,私密金鑰,tool,0.8662,0.8,公私鑰和私密金鑰是相關的概念，私密金鑰是公私鑰的一部分
弱掃工具,tool,軟體掃描工具,tool,0.8648,0.8,兩節點名稱語意相近，弱掃工具和軟體掃描工具可能指稱同一概念
對稱金鑰加密,tool,對稱式加密演算法,tool,0.8628,0.9,節點 A 和節點 B 的名稱語意等價，均指稱對稱金鑰加密的概念
應用代理閘道防火牆,tool,代理型防火牆,tool,0.8624,0.9,兩節點名稱語意等價，代理型防火牆是應用代理閘道防火牆的一種標準化形式
zenmap,tool,nmap,tool,0.8618,0.9,zenmap 是 nmap 的圖形化界面
vpn,tool,虛擬私有網路 (vpn),tool,0.8617,1.0,節點 A 和節點 B 的名稱語意等價，都是指虛擬私有網路
實體安全設施,tool,資安設備,tool,0.8616,0.8,實體安全設施和資安設備在本體論類別tool下具有相似的語意含義
加密工具,tool,加密軟體,tool,0.8609,0.9,加密工具和加密軟體在本體論類別tool下為同義詞
生理特徵認證設備,tool,生物辨識設備,tool,0.8602,0.9,兩節點名稱語意等價，都是指利用生物特徵進行認證的設備
防禦主機防火牆,tool,網路防火牆,tool,0.8592,0.9,防禦主機防火牆和網路防火牆是同義詞
日誌管理方案,tool,日誌管理系統,tool,0.8586,0.8,日誌管理方案和日誌管理系統在語意上相近，均指涉及管理日誌的工具或系統
資料備份機制,tool,資料備份,tool,0.8554,0.8,節點 A 和節點 B 的名稱語意相近，均與資料備份相關
sha2,tool,sha-2,tool,0.8543,1.0,sha2 和 sha-2 是同義詞，指稱同一個概念
攻擊工具包,tool,駭客工具,tool,0.8535,0.8,攻擊工具包和駭客工具在本體論類別tool下具有相似的語意含義
軟體密碼模組,tool,加密軟體,tool,0.8521,0.8,軟體密碼模組和加密軟體在工具類別中具有相似的語意含義
應用代理閘道防火牆,tool,網路應用程式防火牆,tool,0.8475,0.8,兩節點名稱語意相近，均指涉及防火牆的網路安全工具
弱掃工具,tool,漏洞掃描工具,tool,0.8472,0.9,兩節點名稱語意等價，弱掃工具是漏洞掃描工具的別稱
防禦主機防火牆,tool,基於主機的防火牆,tool,0.8465,0.9,節點 A 和節點 B 的名稱語意等價，均指主機防火牆
firewall,tool,應用層防火牆,tool,0.8465,0.8,firewall 和 應用層防火牆 是同義詞
firewall,tool,防禦主機防火牆,tool,0.8465,0.9,節點 A 和節點 B 的名稱語意等價，均指稱網路安全中的防火牆
sim卡,tool,usim卡,tool,0.8457,0.9,sim卡和usim卡都是用於移動通訊的卡片，usim卡是sim卡的升級版本
閘道器,tool,vpn 閘道器,tool,0.8448,0.8,vpn 閘道器 是閘道器的一種特定類型
firewall,tool,傳輸層防火牆,tool,0.8431,0.9,firewall 和 傳輸層防火牆 是同義詞
代理型防火牆,tool,網路防火牆,tool,0.8424,0.8,代理型防火牆和網路防火牆都是防火牆的類型，且代理型防火牆是一種網路防火牆的實現形式
siem系統,tool,siem,tool,0.8416,0.9,SIEM系統和SIEM是同義詞，指稱安全信息和事件管理系統
認證設備,tool,資安設備,tool,0.8412,0.8,認證設備和資安設備在本體論類別tool下具有相似的語意含義
入侵偵測與防範,tool,入侵偵測系統,tool,0.8406,0.8,入侵偵測與防範和入侵偵測系統在語意上相近，前者涵蓋了後者
資料儲存,tool,儲存媒體,tool,0.8402,0.8,資料儲存和儲存媒體在本體論類別tool下為同義詞
mirai 物聯網惡意軟體,tool,mirai 惡意程式,tool,0.8396,0.9,節點 A 和節點 B 的名稱雖然有稍微的差異，但都指稱 Mirai 惡意軟體
反惡意軟體,tool,惡意程式偵測軟體,tool,0.8384,0.9,兩節點名稱語意等價，都是用來偵測和防止惡意軟體的工具
防禦主機防火牆,tool,防火牆 (firewall),tool,0.8381,0.9,節點 A 和節點 B 的名稱語意等價，均指稱防火牆的概念
firewall,tool,代理型防火牆,tool,0.8381,0.8,代理型防火牆是防火牆的一種特定類型
中介軟體,tool,代理軟體,tool,0.8379,0.9,中介軟體和代理軟體是同義詞
utm產品,tool,utm,tool,0.8376,1.0,utm產品和utm是同義詞
公開金鑰加密,tool,公私鑰,tool,0.8367,0.9,公開金鑰加密和公私鑰是同義詞，都是指利用公開金鑰和私人金鑰進行加密和解密的技術
一次性密碼 (otp),tool,一次性密碼,tool,0.8346,1.0,兩節點名稱語意等價
個人識別證,tool,ic 識別證,tool,0.8336,0.9,個人識別證和ic識別證是同義詞
代理防火牆,tool,防火牆 (firewall),tool,0.8334,0.9,代理防火牆是防火牆的一種特殊形式
jca,tool,jce,tool,0.8332,0.8,jca 和 jce 都是 Java 相關的加密工具，可能是同義詞或相關概念
非對稱金鑰加密,tool,非對稱加密工具,tool,0.8331,0.9,節點 A 和節點 B 的名稱語意等價，均指稱非對稱金鑰加密的工具
靜態分析程式碼掃描工具,tool,原始碼檢測工具,tool,0.8331,0.9,兩節點名稱語意等價，均指程式碼掃描工具
相關設備,tool,資安設備,tool,0.8315,0.8,兩節點名稱語意相近，相關設備和資安設備都指涉工具類別
firewall,tool,網路應用程式防火牆,tool,0.8307,0.9,firewall 和 網路應用程式防火牆 是同義詞
傳輸層防火牆,tool,防火牆 (firewall),tool,0.8307,0.9,傳輸層防火牆是防火牆的一種特定類型，兩者名稱語意相關且指稱同一概念
防毒,tool,防毒軟體,tool,0.8299,0.9,防毒和防毒軟體在此語境下指稱同一概念
入侵防禦系統 (ips),tool,入侵偵測與防禦系統 (idps),tool,0.8292,0.9,入侵防禦系統 (ips) 和入侵偵測與防禦系統 (idps) 是同義詞
行動裝置管理系統,tool,行動裝置管理系統 (mdm),tool,0.829,1.0,兩節點名稱語意等價，均指行動裝置管理系統
網路應用程式防火牆,tool,防火牆 (firewall),tool,0.8288,0.9,節點 A 和節點 B 的名稱語意等價，均指稱防火牆的概念
網路型入侵偵測系統,tool,入侵偵測設備,tool,0.8285,0.8,兩節點名稱語意相近，入侵偵測系統和入侵偵測設備都指涉及入侵偵測的工具
應用層防火牆,tool,防火牆 (firewall),tool,0.8283,0.9,應用層防火牆是防火牆的一種特定類型，兩者名稱語意相關且指稱同一概念
入侵偵測與防範,tool,入侵防禦系統,tool,0.8276,0.9,入侵偵測與防範和入侵防禦系統是同義詞
手機防毒軟體,tool,防毒解毒軟體,tool,0.8266,0.8,兩節點名稱語意相近，均指稱防毒軟體
多因子驗證機制 (mfa),tool,多因子驗證機制,tool,0.8265,1.0,兩節點名稱語意等價
線上式ups,tool,線上互動式ups,tool,0.8263,0.8,線上式ups和線上互動式ups名稱語意相近，可能是同義詞或標準化形式
防病毒軟體,tool,惡意程式偵測軟體,tool,0.8252,0.8,防病毒軟體和惡意程式偵測軟體在功能上有重疊，且常被視為同義詞
生理特徵設備,tool,生物辨識設備,tool,0.8252,0.8,兩節點名稱語意相近，生理特徵設備和生物辨識設備都涉及使用生物特徵進行辨識
微處理器,tool,cpu,tool,0.8249,0.9,微處理器和cpu是同義詞
主機型入侵偵測系統,tool,主機型入侵偵測系統 (hids),tool,0.8244,1.0,兩節點名稱語意等價
